csv_filename,column_name,semantic_type
ecommerce_orders.csv,order_id,id
ecommerce_orders.csv,customer_email,email
ecommerce_orders.csv,product_category,categorical_low_card
ecommerce_orders.csv,product_name,categorical_high_card
ecommerce_orders.csv,price,currency
ecommerce_orders.csv,discount_pct,percentage
ecommerce_orders.csv,order_date,date
ecommerce_orders.csv,shipping_zip,zip_code
ecommerce_orders.csv,order_notes,free_text
hr_records.csv,employee_id,id
hr_records.csv,department,categorical_low_card
hr_records.csv,salary,currency
hr_records.csv,years_experience,numeric_continuous
hr_records.csv,hire_date,date
hr_records.csv,phone_number,phone
hr_records.csv,performance_notes,free_text
hr_records.csv,bonus_pct,percentage
healthcare_patients.csv,patient_id,id
healthcare_patients.csv,diagnosis_category,categorical_low_card
healthcare_patients.csv,visit_date,date
healthcare_patients.csv,insurance_provider,categorical_high_card
healthcare_patients.csv,patient_zip,zip_code
healthcare_patients.csv,notes,free_text
healthcare_patients.csv,bill_amount,currency
healthcare_patients.csv,heart_rate_bpm,numeric_continuous
healthcare_patients.csv,contact_email,email
real_estate_listings.csv,listing_id,id
real_estate_listings.csv,property_type,categorical_low_card
real_estate_listings.csv,price,currency
real_estate_listings.csv,sqft,numeric_continuous
real_estate_listings.csv,listing_zip,zip_code
real_estate_listings.csv,listing_date,date
real_estate_listings.csv,agent_email,email
real_estate_listings.csv,agent_phone,phone
real_estate_listings.csv,description,free_text
real_estate_listings.csv,commission_pct,percentage
banking_transactions.csv,transaction_id,id
banking_transactions.csv,account_type,categorical_low_card
banking_transactions.csv,amount,currency
banking_transactions.csv,transaction_date,date
banking_transactions.csv,merchant_category,categorical_high_card
banking_transactions.csv,fee_pct,percentage
banking_transactions.csv,memo,free_text
banking_transactions.csv,branch_zip,zip_code
banking_transactions.csv,balance,numeric_continuous
saas_usage.csv,user_id,id
saas_usage.csv,plan_type,categorical_low_card
saas_usage.csv,monthly_revenue,currency
saas_usage.csv,signup_date,date
saas_usage.csv,usage_notes,free_text
saas_usage.csv,support_email,email
saas_usage.csv,support_phone,phone
saas_usage.csv,storage_used_gb,numeric_continuous
saas_usage.csv,uptime_pct,percentage
retail_inventory.csv,sku_id,id
retail_inventory.csv,category,categorical_low_card
retail_inventory.csv,product_line,categorical_high_card
retail_inventory.csv,unit_cost,currency
retail_inventory.csv,stock_pct,percentage
retail_inventory.csv,restock_date,date
retail_inventory.csv,supplier_notes,free_text
retail_inventory.csv,weight_kg,numeric_continuous
retail_inventory.csv,warehouse_zip,zip_code
marketing_campaigns.csv,campaign_id,id
marketing_campaigns.csv,channel,categorical_low_card
marketing_campaigns.csv,ad_creative,categorical_high_card
marketing_campaigns.csv,ctr_pct,percentage
marketing_campaigns.csv,spend,currency
marketing_campaigns.csv,campaign_date,date
marketing_campaigns.csv,contact_email,email
marketing_campaigns.csv,impressions,numeric_continuous
marketing_campaigns.csv,campaign_brief,free_text
education_students.csv,student_id,id
education_students.csv,major,categorical_low_card
education_students.csv,gpa,numeric_continuous
education_students.csv,enrollment_date,date
education_students.csv,campus_zip,zip_code
education_students.csv,student_email,email
education_students.csv,student_phone,phone
education_students.csv,tuition_paid,currency
education_students.csv,attendance_pct,percentage
education_students.csv,advisor_notes,free_text
logistics_shipments.csv,shipment_id,id
logistics_shipments.csv,carrier,categorical_low_card
logistics_shipments.csv,destination_city,categorical_high_card
logistics_shipments.csv,shipping_cost,currency
logistics_shipments.csv,ship_date,date
logistics_shipments.csv,dest_zip,zip_code
logistics_shipments.csv,weight_lbs,numeric_continuous
logistics_shipments.csv,delivery_notes,free_text
logistics_shipments.csv,on_time_pct,percentage
logistics_shipments.csv,dispatch_email,email
logistics_shipments.csv,driver_phone,phone
